mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"OPPO K1 (Piano Black, 64 GB)  (4 GB RAM)",CPH1893,Dual Sim,16.28 cm (6.41 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95 GHz,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3600 mAh
"Realme 2 Pro (Black Sea, 64 GB)  (6 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,6 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Realme 2 Pro (Ice Lake, 64 GB)  (4 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Realme 2 Pro (Blue Ocean, 64 GB)  (4 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Realme 2 Pro (Black Sea, 64 GB)  (4 GB RAM)",RMX1801,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 Octa Core 1.95GHz AIE,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 2G",3500 mAh
"Redmi 8 (Emerald Green, 64 GB)  (4 GB RAM)",MZB8256IN,Dual Sim,15.8 cm (6.22 inch),1520 x 720 Pixels,Qualcomm Snapdragon 439,Octa Core,64 GB,4 GB,12MP + 2MP,"4G VOLTE, 3G, 2G",5000 mAh
"Redmi 7A (Matte Black, 16 GB)  (2 GB RAM)",MZB7798IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,16 GB,2 GB,12MP,"4G VOLTE, 3G, 2G",4000 mAh
"Redmi 7A (Matte Gold, 16 GB)  (2 GB RAM)",MZB7995IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,16 GB,2 GB,12MP,"4G VOLTE, 3G, 2G",4000 mAh
"Mi A3 (More Than White, 64 GB)  (4 GB RAM)",m1906f9si,Dual Sim,15.44 cm (6.08 inch),1560 x 720$$Pixels,Qualcomm Snapdragon 665 octa core,Octa Core,64 GB,4 GB,48MP + 8MP,"4G VOLTE, 3G, 2G",4030 mAh
"Vivo V15 (Frozen Black, 64 GB)  (6 GB RAM)",(Vivo1819/PD1831F_EX),Dual Sim,16.59 cm (6.53 inch),2340 x 1080 pixels,MTK Helio P70,Octa Core,64 GB,6 GB,12MP + 5MP + 8MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
