mobile,Model,sim type,display size,resolution,processor type,processor core,internal storage,ram,camera,network type,battery
"Samsung Galaxy A30 (White, 64 GB)  (4 GB RAM)",SM-A305FZWFINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 7904,Octa Core,64 GB,4 GB,16MP + 5MP,"3G, 4G, 2G",4000 mAh
"Apple iPhone 11 (Red, 64 GB)",MWLV2HN/A,Dual Sim,15.49 cm (6.1 inch),1792 x 828 Pixels,A13 Bionic Chip,64 GB,12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
"Vivo Y95 (Nebula Purple, 64 GB)  (4 GB RAM)",Vivo1807 / Vivo1818,Dual Sim,15.8 cm (6.22 inch),1520 x 720 pixels,Qualcomm Snapdragon 439,Octa Core,64 GB,4 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",4030 mAh
Kechaoda K66 Plus  (Pink),K66 Plus,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,64 MB,32 MB,0.3MP,2G,400 mAh
Kechaoda K66 Plus  (Black),K66 Plus,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,64 MB,32 MB,0.3MP,2G,400 mAh
I Kall K31 with Flash Light/K31 Mobile  (Red),K31,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,64 MB,32 MB,0.3MP,2G,1000 mAh
"Alcatel 3V (Spectrum Black, 32 GB)  (3 GB RAM)",Dual Sim,15.24 cm (6 inch),2160 x 1080 pixels,MT8735A A53,Quad Core,32 GB,3 GB,16MP + 5MP,"3G, 4G VOLTE, 2G",3000 mAh
Karbonn KX21  (Black&Yellow),KX21,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,0.3MP,2G,1000 mAh
"XOLO Era 4x (Gold, 16 GB)  (2 GB RAM)",Era 4x,Dual Sim,13.84 cm (5.45 inch),1440x720 pixels,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 2G",3000 mAh
"Moto G6 Plus (Indigo Black, 64 GB)  (6 GB RAM)",XT-1926-9,Dual Sim,14.99 cm (5.9 inch),1080 x 2160 Pixels,Qualcomm Snapdragon 630,Octa Core,64 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",3200 mAh
Gfive Audi  (Black & Green),Audi,Dual Sim,4.57 cm (1.8 inch),160 x 128$$ Pixels,32 MB,0.3MP,2G,1050 mAh
"Samsung Galaxy A10 (Gold, 32 GB)  (2 GB RAM)",SM-A105FZDGINS,Dual Sim,15.75 cm (6.2 inch),720 x 1520 pixels,Exynos 7884,Octa Core,32 GB,2 GB,13MP,"3G, 4G, 2G",3400 mAh
Kechaoda K-9  (WhiteIIBlackIIRed),jl201130396850.5,Dual Sim,5.59 cm (2.2 inch),176 x 220,64 MB,64 MB,0.3MP,2000 mAh
Karbonn KX2  (Gold&Black),KX2,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,32 MB,32 MB,0.3MP,2G,1000 mAh
"Vivo Y71 (Gold, 16 GB)  (3 GB RAM)",1724,Dual Sim,15.24 cm (6 inch),1440 x 720 Pixels,Qualcomm Snapdragon 425,Quad Core,16 GB,3 GB,13MP,"3G, 4G VOLTE, 2G",3360 mAh
Forme Mini 1  (Red),Mini 1,Dual Sim,6.1 cm (2.4 inch),320 x 240 Pixels,0.3MP,2G,1500 mAh
"Samsung Galaxy S10 (Prism Blue, 128 GB)  (8 GB RAM)",SM-G973FZBDINS,Dual Sim,15.49 cm (6.1 inch),3040 x 1440 pixel,Exynos 9 9820,Octa Core,128 GB,8 GB,16MP + 12MP,"3G, 4G, 2G",3400 mAh
Tork T19  (Brown),T19,Triple Sim,6.1 cm (2.4 inch),240 x 320$$pixels,32 MB,32 MB,0.3MP,2G,2800 mAh
"Apple iPhone 11 Pro (Space Grey, 256 GB)",MWC72HN/A,Dual Sim,14.73 cm (5.8 inch),2436 x 1125 Pixels,A13 Bionic Chip,256 GB,12MP + 12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
Kechaoda K6  (Black),K6,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,64 MB,32 MB,0.3MP,2G,1200 mAh
"Samsung Galaxy A10s (Blue, 32 GB)  (2 GB RAM)",SM-A107FZBDINS,Dual Sim,15.75 cm (6.2 inch),720 x 1560,MediaTek MT6762,Octa Core,32 GB,2 GB,13MP + 2MP,"4G, 3G, 2G",4000 mAh
"Vivo Y81 (Gold, 32 GB)  (3 GB RAM)",vivo 1803/PD1732BF,Dual Sim,15.49 cm (6.1 inch),1520 x 720 Pixels,MT6762 Octa Core (Helio P22),Octa Core,32 GB,3 GB,13MP,"3G, 4G VOLTE, 2G",3260 mAh
MU M370  (Rose Gold),M370,Dual Sim,3.66 cm (1.44 inch),320 x 240 Pixels,32 MB,32 MB,0.3MP,2G,700 mAh
Kechaoda K9  (Black),K9,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,64 MB,32 MB,0.3MP,2G,1700 mAh
"Apple iPhone 11 Pro Max (Gold, 256 GB)",MWHL2HN/A,Dual Sim,16.51 cm (6.5 inch),2688 x 1242 Pixels,A13 Bionic Chip,256 GB,12MP + 12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
"Nokia 1 (Dark Blue, 8 GB)  (1 GB RAM)",TA-1066,Dual Sim,11.43 cm (4.5 inch),480 x 854 Pixels,MT6737M Quad Core 1.1 GHz,Quad Core,8 GB,1 GB,5MP,"3G, 4G, 2G",2150 mAh
"Redmi K20 (Carbon Black, 128 GB)  (6 GB RAM)",MZB7757IN,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 730,Octa Core,128 GB,6 GB,48MP + 13MP + 8MP,"4G VOLTE, 3G, 2G",4000 mAh
"Nokia 3.2 (Black, 16 GB)  (2 GB RAM)",719901070771,Dual Sim,15.9 cm (6.26 inch),720 x 1520 pixels,Qualcomm Snapdragon 429,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
Karbonn KX1  (White),KX1,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,32 MB,32 MB,0.3MP,2G,800 mAh
"Samsung Galaxy Note 10 (Aura Glow, 256 GB)  (8 GB RAM)",SM-N970FZSDINS,Dual Sim,16.0 cm (6.3 inch),2280 x 1080 pixel,Octa Core,256 GB,8 GB,"12MP + 12, 16MP","4G, 3G, 2G",3500 mAh
Forme Duos N2  (Black),Duos N2,Dual Sim,4.57 cm (1.8 inch),NA,NO,32 MB,32 MB,0.3MP + 0.3MP,2G,1050 mAh
Forme Duos N2  (Blue),Duos N2,Dual Sim,4.57 cm (1.8 inch),NA,32 MB,32 MB,0.3MP + 0.3MP,2G,1050 mAh
"Vivo Y81 (Black, 32 GB)  (4 GB RAM)",vivo 1803/PD1732BF,Dual Sim,15.8 cm (6.22 inch),1520 x 720$pixels,MT6762 (Helio P22),Octa Core,32 GB,4 GB,13MP,"3G, 4G VOLTE, 4G, 2G",3260 mAh
Peace P3  (Green & Black),P3,Dual Sim,4.57 cm (1.8 inch),320 x 240 Pixels,256 MB,64 MB,0.3MP,2G,850 mAh
"OPPO A83 (Champagne, 16 GB)  (2 GB RAM)",CPH1827,Dual Sim,14.48 cm (5.7 inch),1440 x 720 Pixels,MT6763T,Octa Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",3180 mAh
Tambo A2200  (Black),A2200,Dual Sim,5.59 cm (2.2 inch),240 x 320 Pixels,32 MB,32 MB,0.3MP,2G,1000 mAh
Kechaoda K28  (Gold),K28,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,64 MB,32 MB,0.3MP,2G,1700 mAh
"Samsung Galaxy A70s (Prism Crush Red, 128 GB)  (6 GB RAM)",SM-A707FZRMINS,Dual Sim,17.02 cm (6.7 inch),1080 x 2400 Pixels,Qualcomm SM6150,Octa Core,128 GB,6 GB,64MP + 5MP + 8MP,"4G, 3G, 2G",4500 mAh
Gfive Plus  (Blue),Plus,Dual Sim,4.57 cm (1.8 inch),480*320,32 MB,32 MB,0.3MP,2G,1000 mAh
"Samsung Galaxy J6 (Blue, 32 GB)  (3 GB RAM)",SM-J600GZBGINS,Dual Sim,14.22 cm (5.6 inch),720 x 1480 Pixels,Exynos 7870,Octa Core,32 GB,3 GB,13MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
Itel Power 400  (Black),It5617,Dual Sim,6.1 cm (2.4 inch),320 x 240$$Pixels,32 MB,32 MB,0.3MP,2G,2500 mAh
Kechaoda K28  (Black),K28,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,64 MB,32 MB,0.3MP,2G,1700 mAh
Salora Volt 2  (Black & Orange),Volt 2,Dual Sim,4.57 cm (1.8 inch),320X240 Pixels,32 MB,32 MB,1.3MP,2G,2000 mAh
Kechaoda A27  (Black),A27,Dual Sim,1.68 cm (0.66 inch),128 x 160$$ Pixels,32 MB,32 MB,2G,800 mAh
"Nokia 2.1 (Blue&Copper, 8 GB)  (1 GB RAM)",TA-1086/NOKIA 2.1DS,Dual Sim,13.97 cm (5.5 inch),720 x 1280 Pixels,Quad Core,8 GB,1 GB,8MP,"3G, 4G VOLTE, 2G",4000 mAh
"OPPO F9 (Mist Black, 64 GB)  (4 GB RAM)",CPH1881,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Mediatek Helio P60 Octacore 2.0 GHz,Octa Core,64 GB,4 GB,16MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3500 mAh
Kechaoda K60  (Gold),K60,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,0.3MP,2G,3600 mAh
"Lava Z62 (Midnight Blue, 16 GB)  (2 GB RAM)",LF9810-Z62,Dual Sim,15.24 cm (6 inch),480 x 960 pixels,MTK 6761,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 4G, 2G",3380 mAh
Easyfone Elite  (White),Elite,Single Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32,0.3MP,2G,1000 mAh
Easyfone Elite  (Black),Elite,Single Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32,0.3MP,2G,1000 mAh
"Apple iPhone X (Space Gray, 64 GB)",MQA52HN/A,Single Sim,14.73 cm (5.8 inch),2436 x 1125 Pixels,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor",64 GB,12MP + 12MP,"3G, 4G, 2G"
Peace P4  (Black&Red),P4,Dual Sim,4.57 cm (1.8 inch),320 x 240 Pixels,256 MB,64 MB,0.3MP,2G,850 mAh
"Apple iPhone 11 Pro Max (Space Grey, 64 GB)",MWHD2HN/A,Dual Sim,16.51 cm (6.5 inch),2688 x 1242 Pixels,A13 Bionic Chip,64 GB,12MP + 12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
Karbonn KX1  (Black),KX1,Dual Sim,4.57 cm (1.8 inch),128 x 160 Pixels,32 MB,32 MB,0.3MP,2G,800 mAh
Karbonn K24 Plus Pro  (Gold Black),K24 Plus Pro,Dual Sim,6.1 cm (2.4 inch),240 x 320$$Pixels,32 MB,32 MB,0.3MP,2G,1800 mAh
"Itel A44 Power (Dark Grey, 8 GB)  (1 GB RAM)",A44 Power,Dual Sim,13.84 cm (5.45 inch),960x480$$Pixels,Quad Core,8 GB,1 GB,5MP + 0.08MP,"3G, 4G, 2G",4000 mAh
"OPPO F11 Pro (Aurora Green, 128 GB)  (6 GB RAM)",CPH1969,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 pixels,MediaTek Helio P70 Octa Core 2.1 GHz,Octa Core,128 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Peace P1 Pack of Three Mobiles  (Black$$Red, Black$$Blue, Black)",P1,Dual Sim,4.57 cm (1.8 inch),128 x 160$$Pixels,64 MB,32 MB,0.3MP,2G,850 mAh
Salora Vishaal  (Gold),KT 24+,Dual Sim,6.1 cm (2.4 inch),800 x 600 Pixels,32 MB,32 MB,1.3MP,2G,2700 mAh
Jivi S3  (Black&Yellow),S3,Dual Sim,4.57 cm (1.8 inch),240 X 320$$ Pixels,NA,32 MB,32 MB,0.3MP,2G,1000 mAh
"Redmi 6 (Blue, 64 GB)  (3 GB RAM)",MZB6660IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,2.0 GHz Mediatek P22 Octacore,Octa Core,64 GB,3 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",3000 mAh
Blackbear i7 Trio Plus  (Blue),i7 Trio Plus,Triple Sim,6.1 cm (2.4 inch),240 x 320$$Pixels,64 MB,64 MB,1.8MP,2G,1550 mAh
Niamia CAD 1 Combo Of Two Mobiles  (White),CAD 1 Combo of Two Mobiles,Dual Sim,4.57 cm (1.8 inch),240 x 320$$Pixels,32 MB,32 MB,0.08MP,2G,1000 mAh
Kechaoda K116 Plus  (Silver),K116 Plus,Dual Sim,4.5 cm (1.77 inch),320 x 240 Pixels,32 MB,32 MB,0.3MP,2G,400 mAh
Karbonn KX3  (Black&Orange),KX3,Dual Sim,4.57 cm (1.8 inch),160 x 120$$Pixels,32 MB,32 MB,0.3MP,2G,800 mAh
"Vivo Y71i (Matte Black, 16 GB)  (2 GB RAM)",1801/1731B,Dual Sim,15.24 cm (6 inch),1440 x 720 Pixel,Qualcomm Snapdragon 425,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 2G",3360 mAh
"Vivo Y71i (Gold, 16 GB)  (2 GB RAM)",1801/1731B,Dual Sim,15.24 cm (6 inch),1440 x 720 Pixel,Qualcomm Snapdragon 425,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 2G",3360 mAh
Kechaoda K700  (Yellow),K700,Dual Sim,4.57 cm (1.8 inch),128 x 160$$ Pixels,32 MB,32 MB,0.3MP,2G,800 mAh
"Tecno Camon i4 (Aqua Blue, 32 GB)  (2 GB RAM)",Camon i4 / CB7,Dual Sim,15.75 cm (6.2 inch),1520x720$$Pixels,Quad Core,32 GB,2 GB,13MP + 8MP,"3G, 4G VOLTE, 2G",3500 mAh
Salora Kiano  (Dark Blue),Kiano,Four Sim,6.1 cm (2.4 inch),320 x 240 Pixels,Spreadtrum,32 MB,32 MB,1.3MP,2G,1200 mAh
"Lava Z93 (Charcoal Blue, 32 GB)  (3 GB RAM)",Dual Sim,15.8 cm (6.22 inch),720 x 1520 Pixels,Helio P22,Octa Core,32 GB,3 GB,13MP + 2MP,"4G VOLTE, 3G, 2G",3500 mAh
"Lava Z93 (Royal Blue, 32 GB)  (3 GB RAM)",Dual Sim,15.8 cm (6.22 inch),720 x 1520 Pixels,Helio P22,Octa Core,32 GB,3 GB,13MP + 2MP,"4G VOLTE, 3G, 2G",3500 mAh
"Apple iPhone XR (White, 128 GB)",MRYD2HN/A,Dual Sim,15.49 cm (6.1 inch),1792 x 828 pixels,A12 Bionic Chip,128 GB,12MP,"3G, 4G, 2G"
"Zen Z8 T  (Red/ Black , Red)",Z8 T,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,1.3MP,2G,2800 mAh
Ziox Z301  (Coffee),Z301,Dual Sim,6.1 cm (2.4 inch),120 x 160$$Pixels,32 MB,32 MB,0.3MP,2G,1800 mAh
"LG K7i (Brown, 16 GB)  (2 GB RAM)",X230I,Dual Sim,12.7 cm (5 inch),854 x 480 Pixels,Quad Core,16 GB,2 GB,8MP,"3G, 4G VOLTE, 2G",2500 mAh
I Kall K34 Combo of Two Mobiles  (Black&Red$$Black&Red),K34 Combo of Two Mobiles,Dual Sim,4.57 cm (1.8 inch),240 x 320$$Pixels,32 MB,32 MB,0.3MP,2G,800 mAh
"Honor Holly 4 (Grey, 32 GB)  (3 GB RAM)",DLI-L42,Dual Sim,12.7 cm (5 inch),1280 x 720 Pixels,4*Cortex-A53 1.4GHz + 4*Cortex-A53 1.1GHz Android 7.0 + EMUI 5.1,Quad Core,32 GB,3 GB,13MP,"3G, 4G VOLTE, 4G",3020 mAh
Samsung Metro 313  (Black),SM-B313EZKDINS,Dual Sim,5.08 cm (2 inch),640 x 480,2.27 MB,512 MB,0.3MP,1000 mAh
"Zen Z8 T  (Red/ Black , Red)",Z8 T,Dual Sim,6.1 cm (2.4 inch),240 x 320 Pixels,32 MB,32 MB,1.3MP,2G,2800 mAh
"Kenxinda P9 Volte (Iron Grey, 8 GB)  (1 GB RAM)",P9,Dual Sim,13.97 cm (5.5 inch),480 x 854 Pixels,Quad Core,8 GB,1 GB,5MP,"3G, 4G VOLTE, 2G",5000 mAh
Kechaoda K111  (Gold),K111,Dual Sim,4.57 cm (1.8 inch),240 x 320$$ Pixels,32 MB,32 MB,2MP,2G,800 mAh
"Samsung Galaxy S9 (Midnight Black, 256 GB)  (4 GB RAM)",SM-G960FZKHINS,Dual Sim,14.73 cm (5.8 inch),2960 x 1440 Pixels,Exynos 9810,Octa Core,256 GB,4 GB,12MP,"3G, 4G, 2G",3000 mAh
"Asus Zenfone Max Pro M1 (Grey, 64 GB)  (4 GB RAM)",ZB601KL-4H070IN / ZB601KL-4H080IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 Pixels,Qualcomm Snapdragon 636 Octa Core,Octa Core,64 GB,4 GB,13MP + 5MP,"3G, 4G VOLTE, 2G",5000 mAh
Salora Kiano  (Dark Blue),Kiano,Four Sim,6.1 cm (2.4 inch),320 x 240 Pixels,Spreadtrum,32 MB,32 MB,1.3MP,2G,1200 mAh
"OPPO F11 Pro (Thunder Black, 128 GB)  (6 GB RAM)",CPH1969,Dual Sim,16.51 cm (6.5 inch),2340 x 1080 pixels,MediaTek Helio P70 Octa Core 2.1 GHz,Octa Core,128 GB,6 GB,48MP + 5MP,"3G, 4G VOLTE, 4G, 2G",4000 mAh
"Moto Z with Style Mod (Black, 64 GB)  (4 GB RAM)",XT 1650-03,Dual Sim,13.97 cm (5.5 inch),2560 x 1440 Pixels,Qualcomm Snapdragon 820 Quad Core 1.8GHz,Quad Core,64 GB,4 GB,13MP,"3G, 4G VOLTE, 2G",2600 mAh
"Samsung Galaxy A6+ (Gold, 64 GB)  (4 GB RAM)",SM-A605GZDHINS,Dual Sim,15.24 cm (6 inch),2220 x 1080 Pixels,Octa Core,64 GB,4 GB,16MP + 5MP,"3G, 4G VOLTE, 4G, 2G",3500 mAh
"Apple iPhone 11 Pro (Space Grey, 512 GB)",MWCD2HN/A,Dual Sim,14.73 cm (5.8 inch),2436 x 1125 Pixels,A13 Bionic Chip,512 GB,12MP + 12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)  (8 GB RAM)",SM-N960FZNHINS,Dual Sim,16.26 cm (6.4 inch),2960 x 1440 Pixels,Octa Core,512 GB,8 GB,12MP + 12MP,"3G, 4G, 2G",4000 mAh
"Mi A2 (Gold, 64 GB)  (4 GB RAM)",MZB6439IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,64 GB,4 GB,20MP + 12MP,"3G, 4G VOLTE, 4G, 2G",3010 mAh
"Alcatel 1 (Blue, 8 GB)  (1 GB RAM)",5033S,Dual Sim,12.7 cm (5 inch),960 x 480$$Pixels,Quad Core,8 GB,1 GB,8MP,"3G, 4G, 2G",2000 mAh
"Samsung Galaxy A50 (Black, 64 GB)  (4 GB RAM)",SM-A505FZKDINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 9610,Octa Core,64 GB,4 GB,25MP + 5MP + 8MP,"3G, 4G, 2G",4000 mAh
"VOTO V3 (Blue, 16 GB)  (2 GB RAM)",Dual Sim,12.7 cm (5 inch),1280 x 720 pixels,Spreadtrum 9850,Quad Core,16 GB,2 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
Jivi X570 Plus  (Blue),X570Plus,Dual Sim,4.57 cm (1.8 inch),160X128$$Pixels,NA,16 MB,1 MB,0.03MP + 0MP,2G,1800 mAh
Ziox Z301  (Grey Silver),Z301,Dual Sim,6.1 cm (2.4 inch),120 x 160$$Pixels,32 MB,32 MB,0.3MP,2G,1800 mAh
"Redmi 6 (Rose Gold, 64 GB)  (3 GB RAM)",MZB6663IN,Dual Sim,13.84 cm (5.45 inch),1440 x 720 pixels,2.0 GHz Mediatek P22 Octacore,Octa Core,64 GB,3 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",3000 mAh
"Tecno Camon i4 (Midnight Black, 32 GB)  (2 GB RAM)",Camon i4/ CB7,Dual Sim,15.75 cm (6.2 inch),1520x720 Pixels,Quad Core,32 GB,2 GB,"13MP + 2, 8MP","3G, 4G VOLTE, 2G",3500 mAh
"Tecno Camon I Air (Champagne Gold, 16 GB)  (2 GB RAM)",Dual Sim,14.35 cm (5.65 inch),720 x 1440 pixels,Cortex A53,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 4G, 2G",3050 mAh
"Panasonic Eluga Arc (Gold, 16 GB)  (2 GB RAM)",EB-90S47AR0,Dual Sim,11.94 cm (4.7 inch),1280 x 720 Pixels,Qualcomm Snapdragon 410 Quad Core 1.2GHz,Quad Core,16 GB,2 GB,8MP,4G,1800 mAh
"Lenovo A6 Note (Blue, 32 GB)  (3 GB RAM)",PAGK0026IN,Dual Sim,15.46 cm (6.088 inch),1560 x 720pixels,MediaTek P22 Octa Core,Octa Core,32 GB,3 GB,13MP + 2MP,"4G, 3G, 2G",4000 mAh
"Samsung Galaxy A70s (Prism Crush White, 128 GB)  (6 GB RAM)",SM-A707FZWMINS,Dual Sim,17.02 cm (6.7 inch),1080 x 2400 Pixels,Qualcomm SM6150,Octa Core,128 GB,6 GB,64MP + 5MP + 8MP,"4G, 3G, 2G",4500 mAh
"Samsung Galaxy A50 (Black, 64 GB)  (4 GB RAM)",SM-A505FZKDINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 9610,Octa Core,64 GB,4 GB,25MP + 5MP + 8MP,"3G, 4G, 2G",4000 mAh
"Apple iPhone 8 (Silver, 256 GB)",MQ7G2HN/A,Single Sim,11.94 cm (4.7 inch),1334 x 750 Pixels,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor",256 GB,12MP,"3G, 4G, 2G"
"Apple iPhone XR (Coral, 64 GB)",MRY82HN/A,Dual Sim,15.49 cm (6.1 inch),1792 x 828 pixels,A12 Bionic Chip,64 GB,12MP,"3G, 4G, 2G"
"Mi A2 (Gold, 64 GB)  (4 GB RAM)",MZB6439IN,Dual Sim,15.21 cm (5.99 inch),2160 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,64 GB,4 GB,20MP + 12MP,"3G, 4G VOLTE, 4G, 2G",3010 mAh
"Kekai S5 Gio (Blue, 16 GB)  (1 GB RAM)",S5 Gio,Dual Sim,14.48 cm (5.7 inch),720 x 1080$$Pixels,Quad Core,16 GB,1 GB,5MP,"4G VOLTE, 3G, 2G",3200 mAh
"Honor 7A (Blue, 32 GB)  (3 GB RAM)",V100R001 / AUM-AL20,Dual Sim,14.48 cm (5.7 inch),1440 x 720 Pixels,Qualcomm Snapdragon Octa Core,Octa Core,32 GB,3 GB,13MP + 2MP,"3G, 4G VOLTE, 4G, 2G",3000 mAh
"Apple iPhone X (Silver, 64 GB)",MQA62HN/A,Single Sim,14.73 cm (5.8 inch),2436 x 1125 Pixels,"A11 Bionic Chip with 64-bit Architecture, Neural Engine, Embedded M11 Motion Coprocessor",64 GB,12MP + 12MP,"3G, 4G, 2G"
"Samsung Galaxy Note 9 (Metallic Copper, 512 GB)  (8 GB RAM)",SM-N960FZNHINS,Dual Sim,16.26 cm (6.4 inch),2960 x 1440 Pixels,Octa Core,512 GB,8 GB,12MP + 12MP,"3G, 4G, 2G",4000 mAh
"POCO F1 by Xiaomi (Rosso Red, 128 GB)  (6 GB RAM)",MZB6710IN,Dual Sim,15.7 cm (6.18 inch),2160 x 1080 pixels,Qualcomm Snapdragon 845,Octa Core,128 GB,6 GB,12MP + 5MP,"3G, 4G VOLTE, 2G",4000 mAh
"Micromax Canvas 1 2018 (Blue, 16 GB)  (2 GB RAM)",C1 A,Dual Sim,14.48 cm (5.7 inch),720*1440$$Pixels,Dual Core,16 GB,2 GB,8MP + 8MP,"4G VOLTE, 3G, 2G",3000 mAh
"Itel A23 (Gradation Red, 8 GB)  (1 GB RAM)",A23,Dual Sim,12.7 cm (5 inch),480 x 854$$Pixels,Quad Core,8 GB,1 GB,2MP,"3G, 4G, 2G",2050 mAh
Kechaoda K103  (Silver),K103,Dual Sim,7.11 cm (2.8 inch),320x240 Pixels,64 MB,32 MB,0.3MP,2G,1700 mAh
"Samsung Galaxy A50 (White, 64 GB)  (4 GB RAM)",SM-A505FZWDINS,Dual Sim,16.26 cm (6.4 inch),1080 x 2340 pixels,Exynos 9610,Octa Core,64 GB,4 GB,25MP + 5MP + 8MP,"3G, 4G, 2G",4000 mAh
"Apple iPhone 11 Pro (Gold, 64 GB)",MWC52HN/A,Dual Sim,14.73 cm (5.8 inch),2436 x 1125 Pixels,A13 Bionic Chip,64 GB,12MP + 12MP + 12MP,"4G VOLTE, 4G, 3G, 2G"
"Tecno Camon I Sky 2 (Bordeaux Red, 16 GB)  (2 GB RAM)",Camon i Sky 2,Dual Sim,13.97 cm (5.5 inch),1440X720 Pixels,Quad Core,16 GB,2 GB,13MP,"3G, 4G VOLTE, 2G",3050 mAh
"Tecno Camon i4 (Champagne Gold, 64 GB)  (4 GB RAM)",Camon i4/� CB7J,Dual Sim,15.75 cm (6.2 inch),1520x720$$Pixels,Octa Core,64 GB,4 GB,13MP + 8MP,"3G, 4G VOLTE, 2G",3500 mAh
"Redmi Note 7 (Ruby Red, 64 GB)  (4 GB RAM)",MZB7412IN,Dual Sim,16.0 cm (6.3 inch),2340 x 1080 pixels,Qualcomm Snapdragon 660 AIE,Octa Core,64 GB,4 GB,12MP + 2MP,"3G, 4G VOLTE, 2G",4000 mAh
"Redmi K20 Pro (Flame Red, 128 GB)  (6 GB RAM)",MZB7748IN,Dual Sim,16.23 cm (6.39 inch),2340 x 1080 pixels,Qualcomm Snapdragon 855,Octa Core,128 GB,6 GB,48MP + 13MP + 8MP,"4G VOLTE, 3G, 2G",4000 mAh
"Samsung Galaxy A9 (Caviar Black, 128 GB)  (8 GB RAM)",SM-A920FZKGINS,Dual Sim,16.0 cm (6.3 inch),2220 x 1080 pixels,Qualcomm Snapdragon 660,Octa Core,128 GB,8 GB,24MP + 5MP + 10MP +8MP,"3G, 4G, 2G",3800 mAh
"Samsung Galaxy J4 (Blue, 16 GB)  (2 GB RAM)",SM-J400FZBDINS,Dual Sim,13.97 cm (5.5 inch),720 x 1280 Pixels,Exynos 7570,Quad Core,16 GB,2 GB,13MP,"3G, 4G, 2G",3000 mAh
"Samsung Galaxy S9 (Midnight Black, 128 GB)  (4 GB RAM)",SM-G960FZKGINS,Dual Sim,14.73 cm (5.8 inch),2960 x 1440 Pixels,Exynos 9810,Octa Core,128 GB,4 GB,12MP,"3G, 4G, 2G",3000 mAh
"Vivo Y55S (Crown Gold, 16 GB)  (3 GB RAM)",1610,Dual Sim,13.21 cm (5.2 inch),1280 x 720 Pixels,Qualcomm Snapdragon 425 64-bit Quad Core 1.4GHz,Quad Core,16 GB,3 GB,13MP,"3G, 4G VOLTE, 2G",2730 mAh
"Apple iPhone 7 Plus (Jet Black, 32 GB)",MQU72HN/A,Single Sim,13.97 cm (5.5 inch),1920 x 1080 Pixels,Apple A10 Fusion 64-bit processor and Embedded M10 Motion Co-processor,32 GB,12MP + 12MP,"4G VOLTE, 3G, 2G",NA
